"id","race","sex","age","juv_fel_count","juv_misd_count","priors_count","charge_id","charge_degree","compas_decile_score","two_year_recid","compas_guess","compas_correct","mturk_charge","drug_type","aggregated","weapon","drug_interaction"
1511,2,0,29,0,0,0,281,0,2,0,0,1,"Driving with a Suspended License",NA,"Car Verification Violations",NA,NA
1512,2,0,54,0,0,2,342,0,2,0,0,1,"Robbery",NA,"Robbery/Theft",FALSE,NA
1513,2,0,30,0,0,6,28,1,5,1,1,1,"arrest case no charge",NA,"No Charge",NA,NA
1515,2,0,51,0,0,17,132,0,4,0,0,1,"Driving Under the Influence",NA,"DUI",NA,NA
1516,3,0,45,0,0,20,129,1,3,1,0,0,"Driving with a Revoked License",NA,"Car Verification Violations",NA,NA
1517,2,0,27,0,0,3,55,1,3,1,0,0,"Burglary",NA,"Burglary",NA,NA
1518,3,0,24,0,0,1,28,1,2,1,0,0,"arrest case no charge",NA,"No Charge",NA,NA
1520,1,0,24,0,0,2,297,1,6,0,1,0,"Possession of a Controlled Substance","Controlled Substance","Drug-Related",NA,"Possession"
1522,2,0,23,0,0,2,45,0,7,0,1,0,"Battery",NA,"Battery",FALSE,NA
1523,6,1,42,0,0,2,88,0,3,0,0,1,"Conspiracy Attempt and Solicitation",NA,"Other",NA,NA
1526,2,0,36,0,0,5,306,1,4,0,0,1,"Possession of Cocaine","Cocaine","Drug-Related",NA,"Possession"
1529,2,1,38,0,1,8,45,0,7,1,1,1,"Battery",NA,"Battery",FALSE,NA
1530,3,0,69,0,0,0,45,0,1,0,0,1,"Battery",NA,"Battery",FALSE,NA
1531,3,0,21,0,0,1,28,1,5,1,1,1,"arrest case no charge",NA,"No Charge",NA,NA
1532,3,0,59,0,0,1,216,0,1,0,0,1,"Driving with a Revoked License",NA,"Car Verification Violations",NA,NA
1533,2,0,39,0,0,1,28,1,6,0,1,0,"arrest case no charge",NA,"No Charge",NA,NA
1534,2,0,29,0,0,2,55,1,6,0,1,0,"Burglary",NA,"Burglary",NA,NA
1535,3,0,22,0,0,1,45,0,7,1,1,1,"Battery",NA,"Battery",FALSE,NA
1536,2,0,28,0,0,1,15,1,4,0,0,1,"Assault with a Deadly Weapon",NA,"Assault",TRUE,NA
1538,1,0,44,0,0,6,129,1,3,0,0,1,"Driving with a Revoked License",NA,"Car Verification Violations",NA,NA
1540,2,0,25,0,0,2,186,1,5,0,1,0,"Grand Theft",NA,"Robbery/Theft",FALSE,NA
1541,2,0,31,0,0,0,129,1,10,0,1,0,"Driving with a Revoked License",NA,"Car Verification Violations",NA,NA
1542,2,0,35,0,1,17,45,0,7,1,1,1,"Battery",NA,"Battery",FALSE,NA
1543,2,0,27,0,0,11,28,0,10,1,1,1,"arrest case no charge",NA,"No Charge",NA,NA
1545,2,0,33,0,0,1,377,1,5,0,1,0,"Tampering with a Witness",NA,"Obstruction of Justice",NA,NA
1548,2,0,28,0,0,6,71,1,9,1,1,1,"Carrying a Concealed Weapon",NA,"Carrying a Concealed Weapon",NA,NA
1549,2,0,20,1,0,1,28,1,10,1,1,1,"arrest case no charge",NA,"No Charge",NA,NA
1550,1,0,60,0,0,1,28,1,1,0,0,1,"arrest case no charge",NA,"No Charge",NA,NA
1551,3,0,53,0,0,0,45,0,1,0,0,1,"Battery",NA,"Battery",FALSE,NA
1553,3,0,51,0,0,0,218,1,1,1,0,0,"Prostitution",NA,"Prostitution",NA,NA
1554,3,0,25,0,0,1,28,1,2,0,0,1,"arrest case no charge",NA,"No Charge",NA,NA
1556,2,0,27,2,1,5,346,1,7,1,1,1,"Robbery with a Weapon",NA,"Robbery/Theft",TRUE,NA
1557,2,1,54,0,0,0,15,1,1,0,0,1,"Assault with a Deadly Weapon",NA,"Assault",TRUE,NA
1558,2,1,26,0,0,3,283,0,5,0,1,0,"Possession of Cannabis/Marijuana","Cannabis/Marijuana","Drug-Related",NA,"Possession"
1559,1,0,24,1,2,3,45,0,4,0,0,1,"Battery",NA,"Battery",FALSE,NA
1560,3,0,55,0,0,1,28,1,2,1,0,0,"arrest case no charge",NA,"No Charge",NA,NA
1562,3,0,26,0,0,0,404,1,3,0,0,1,"Fraud",NA,"Fraud/Forgery",NA,NA
1563,2,1,75,0,0,5,28,1,1,0,0,1,"arrest case no charge",NA,"No Charge",NA,NA
1565,2,0,36,0,0,16,129,1,5,1,1,1,"Driving with a Revoked License",NA,"Car Verification Violations",NA,NA
1566,2,0,56,0,0,8,28,1,3,0,0,1,"arrest case no charge",NA,"No Charge",NA,NA
1568,6,0,34,0,0,0,49,1,2,1,0,0,"Battery",NA,"Battery",FALSE,NA
1569,2,1,25,0,0,5,425,0,7,1,1,1,"Domestic Violence",NA,"Abuse",NA,NA
1571,1,0,46,0,0,0,209,1,1,0,0,1,"Fleeing the Scene of an Accident",NA,"Fleeing and Aiding Escape",NA,NA
1572,2,0,27,0,0,1,28,1,2,0,0,1,"arrest case no charge",NA,"No Charge",NA,NA
1573,2,0,24,0,0,1,28,0,6,0,1,0,"arrest case no charge",NA,"No Charge",NA,NA
1575,2,0,28,0,0,3,93,0,3,1,0,0,"Criminal Damage of less than $1000",NA,"Criminal Damage",NA,NA
1576,2,0,42,1,0,13,328,0,8,1,1,1,"Loitering",NA,"Loitering",NA,NA
1577,2,0,59,0,0,2,128,0,1,0,0,1,"Driving Under the Influence",NA,"DUI",NA,NA
1578,1,0,39,0,0,1,224,1,1,0,0,1,"Money Laundering",NA,"Other",NA,NA
1581,1,0,46,0,0,5,45,0,4,0,0,1,"Battery",NA,"Battery",FALSE,NA
1584,6,0,25,0,0,1,183,1,2,0,0,1,"Fraud",NA,"Fraud/Forgery",NA,NA
1587,1,0,55,0,0,2,211,1,1,0,0,1,"Child Molestation",NA,"Sex Crimes",NA,NA
1588,2,0,35,0,0,1,242,0,10,1,1,1,"Theft",NA,"Robbery/Theft",FALSE,NA
1590,2,0,43,0,0,0,45,0,1,1,0,0,"Battery",NA,"Battery",FALSE,NA
1591,1,1,53,0,0,0,128,0,1,0,0,1,"Driving Under the Influence",NA,"DUI",NA,NA
1594,2,1,21,0,0,0,45,0,5,0,1,0,"Battery",NA,"Battery",FALSE,NA
1595,2,0,55,0,0,17,306,1,10,1,1,1,"Possession of Cocaine","Cocaine","Drug-Related",NA,"Possession"
1596,2,0,27,0,0,1,303,1,3,1,0,0,"Possession of Cannabis/Marijuana","Cannabis/Marijuana","Drug-Related",NA,"Possession"
1597,2,0,40,0,0,0,169,1,1,0,0,1,"Battery",NA,"Battery",FALSE,NA
1599,1,1,37,0,0,0,219,0,1,0,0,1,"Fleeing the Scene of an Accident",NA,"Fleeing and Aiding Escape",NA,NA
1601,1,0,32,0,0,2,45,0,2,1,0,0,"Battery",NA,"Battery",FALSE,NA
1602,2,0,32,0,0,2,64,0,2,0,0,1,"Burglary",NA,"Burglary",NA,NA
1604,2,0,36,0,0,4,45,0,5,1,1,1,"Battery",NA,"Battery",FALSE,NA
1605,3,0,22,0,0,0,286,0,3,0,0,1,"Possession of a Controlled Substance","Controlled Substance","Drug-Related",NA,"Possession"
1606,2,1,31,0,0,0,190,1,8,0,1,0,"Grand Theft",NA,"Robbery/Theft",FALSE,NA
1607,2,1,26,0,0,4,172,1,7,1,1,1,"Driving with a Suspended License",NA,"Car Verification Violations",NA,NA
1608,1,1,50,0,0,30,28,0,6,1,1,1,"arrest case no charge",NA,"No Charge",NA,NA
1611,2,0,47,0,0,4,306,1,3,0,0,1,"Possession of Cocaine","Cocaine","Drug-Related",NA,"Possession"
1613,2,0,36,0,0,2,89,1,3,0,0,1,"Forgery",NA,"Fraud/Forgery",NA,NA
1615,1,1,38,0,0,0,74,1,1,0,0,1,"Child Abuse",NA,"Abuse",NA,NA
1618,6,0,35,0,0,0,186,1,1,0,0,1,"Grand Theft",NA,"Robbery/Theft",FALSE,NA
1620,1,0,53,0,0,0,74,1,1,0,0,1,"Child Abuse",NA,"Abuse",NA,NA
1622,2,0,53,0,0,2,172,1,3,0,0,1,"Driving with a Suspended License",NA,"Car Verification Violations",NA,NA
1623,2,0,57,0,0,19,170,1,7,0,1,0,"Battery",NA,"Battery",FALSE,NA
1624,2,0,22,0,0,5,28,1,8,1,1,1,"arrest case no charge",NA,"No Charge",NA,NA
1625,2,0,21,0,0,0,190,1,10,1,1,1,"Grand Theft",NA,"Robbery/Theft",FALSE,NA
1626,2,0,26,0,0,0,71,1,3,1,0,0,"Carrying a Concealed Weapon",NA,"Carrying a Concealed Weapon",NA,NA
1627,2,1,24,0,0,1,15,1,3,0,0,1,"Assault with a Deadly Weapon",NA,"Assault",TRUE,NA
1629,2,0,27,0,0,2,6,1,5,0,1,0,"Battery",NA,"Battery",FALSE,NA
1630,1,1,49,0,0,4,28,1,5,0,1,0,"arrest case no charge",NA,"No Charge",NA,NA
1631,1,0,47,0,0,1,306,1,3,1,0,0,"Possession of Cocaine","Cocaine","Drug-Related",NA,"Possession"
1632,2,0,30,0,0,8,306,1,10,1,1,1,"Possession of Cocaine","Cocaine","Drug-Related",NA,"Possession"
1634,1,0,44,0,0,3,306,1,1,0,0,1,"Possession of Cocaine","Cocaine","Drug-Related",NA,"Possession"
1637,2,0,34,0,0,1,15,1,1,0,0,1,"Assault with a Deadly Weapon",NA,"Assault",TRUE,NA
1638,2,0,45,0,0,10,10,1,3,1,0,0,"Battery with a Deadly Weapon",NA,"Battery",TRUE,NA
1639,3,0,38,0,0,0,58,1,4,0,0,1,"Burglary",NA,"Burglary",NA,NA
1640,1,0,50,0,0,2,45,0,1,0,0,1,"Battery",NA,"Battery",FALSE,NA
1642,1,0,29,0,0,1,45,0,6,0,1,0,"Battery",NA,"Battery",FALSE,NA
1643,1,0,26,0,0,0,108,1,4,0,0,1,"Dealing Controlled Substances","Controlled Substance","Drug-Related",NA,"Dealing"
1644,3,0,44,0,0,2,28,0,1,0,0,1,"arrest case no charge",NA,"No Charge",NA,NA
1645,2,1,22,0,0,1,190,1,6,1,1,1,"Grand Theft",NA,"Robbery/Theft",FALSE,NA
1646,3,0,47,0,0,0,133,0,1,0,0,1,"Driving Under the Influence",NA,"DUI",NA,NA
1648,1,0,49,0,0,0,306,1,1,0,0,1,"Possession of Cocaine","Cocaine","Drug-Related",NA,"Possession"
1651,2,0,49,0,0,1,336,1,3,1,0,0,"Resisting an Officer with Violence",NA,"Resisting",NA,NA
1652,1,0,59,0,0,2,28,1,1,0,0,1,"arrest case no charge",NA,"No Charge",NA,NA
1653,1,0,32,0,0,6,45,0,5,0,1,0,"Battery",NA,"Battery",FALSE,NA
1655,2,0,24,0,0,1,374,0,2,1,0,0,"Driving with a Suspended License",NA,"Car Verification Violations",NA,NA
1656,3,0,40,0,0,0,130,0,2,0,0,1,"Driving Under the Influence",NA,"DUI",NA,NA
1657,2,0,32,0,0,0,159,1,1,0,0,1,"False Imprisonment",NA,"False Imprisonment",NA,NA
1658,3,1,54,0,0,0,133,0,1,0,0,1,"Driving Under the Influence",NA,"DUI",NA,NA
1660,2,0,27,0,0,9,28,1,10,1,1,1,"arrest case no charge",NA,"No Charge",NA,NA
1663,3,1,40,0,0,1,45,0,1,0,0,1,"Battery",NA,"Battery",FALSE,NA
1664,1,0,25,0,0,2,240,0,8,0,1,0,"Driving with a Suspended License",NA,"Car Verification Violations",NA,NA
1665,2,0,34,0,0,1,283,0,6,0,1,0,"Possession of Cannabis/Marijuana","Cannabis/Marijuana","Drug-Related",NA,"Possession"
1666,1,1,62,0,0,2,17,1,1,1,0,0,"Assault",NA,"Assault",FALSE,NA
1667,1,0,20,0,0,0,45,0,5,1,1,1,"Battery",NA,"Battery",FALSE,NA
1668,2,0,37,2,0,18,45,0,9,0,1,0,"Battery",NA,"Battery",FALSE,NA
1669,1,1,30,0,0,5,379,1,10,1,1,1,"Tampering With Physical Evidence",NA,"Obstruction of Justice",NA,NA
1670,2,0,23,0,0,1,404,1,6,1,1,1,"Fraud",NA,"Fraud/Forgery",NA,NA
1672,2,1,20,0,0,0,190,1,8,0,1,0,"Grand Theft",NA,"Robbery/Theft",FALSE,NA
1673,1,0,29,0,0,7,93,0,7,1,1,1,"Criminal Damage of less than $1000",NA,"Criminal Damage",NA,NA
1674,2,0,24,0,0,1,346,1,2,0,0,1,"Robbery with a Weapon",NA,"Robbery/Theft",TRUE,NA
1676,1,1,54,0,0,1,336,0,3,0,0,1,"Resisting an Officer with Violence",NA,"Resisting",NA,NA
1678,2,0,66,0,0,3,306,1,1,0,0,1,"Possession of Cocaine","Cocaine","Drug-Related",NA,"Possession"
1680,1,0,50,0,0,8,28,1,2,0,0,1,"arrest case no charge",NA,"No Charge",NA,NA
1681,2,0,50,0,0,7,10,1,2,0,0,1,"Battery with a Deadly Weapon",NA,"Battery",TRUE,NA
1682,1,0,40,0,0,3,172,1,1,0,0,1,"Driving with a Suspended License",NA,"Car Verification Violations",NA,NA
1683,2,1,30,0,0,4,239,0,7,1,1,1,"Operating a Vehicle without a Valid Drivers License",NA,"Car Verification Violations",NA,NA
1684,1,1,24,0,0,2,28,1,7,0,1,0,"arrest case no charge",NA,"No Charge",NA,NA
1685,3,0,24,0,0,0,168,1,6,1,1,1,"Battery",NA,"Battery",FALSE,NA
1686,2,1,23,0,0,3,28,1,5,1,1,1,"arrest case no charge",NA,"No Charge",NA,NA
1688,2,0,24,0,0,4,219,0,8,1,1,1,"Fleeing the Scene of an Accident",NA,"Fleeing and Aiding Escape",NA,NA
1689,1,0,54,0,0,3,239,0,1,1,0,0,"Operating a Vehicle without a Valid Drivers License",NA,"Car Verification Violations",NA,NA
1691,1,0,25,0,0,4,283,0,10,0,1,0,"Possession of Cannabis/Marijuana","Cannabis/Marijuana","Drug-Related",NA,"Possession"
1692,1,0,46,0,0,1,425,0,1,0,0,1,"Domestic Violence",NA,"Abuse",NA,NA
1696,3,1,35,0,0,10,170,1,8,0,1,0,"Battery",NA,"Battery",FALSE,NA
1697,6,0,25,0,0,1,65,1,5,0,1,0,"Burglary",NA,"Burglary",NA,NA
1698,1,1,22,0,0,0,122,0,3,0,0,1,"Disorderly Conduct",NA,"Other",NA,NA
1699,1,1,32,0,0,1,377,1,2,0,0,1,"Tampering with a Witness",NA,"Obstruction of Justice",NA,NA
1700,2,0,25,0,0,0,337,0,3,1,0,0,"Resisting an Officer",NA,"Resisting",NA,NA
1701,2,0,22,0,0,3,28,1,8,1,1,1,"arrest case no charge",NA,"No Charge",NA,NA
1702,2,0,33,0,0,16,129,1,9,1,1,1,"Driving with a Revoked License",NA,"Car Verification Violations",NA,NA
1704,1,1,49,0,0,0,45,0,1,1,0,0,"Battery",NA,"Battery",FALSE,NA
1705,2,0,30,0,0,10,28,1,5,0,1,0,"arrest case no charge",NA,"No Charge",NA,NA
1706,2,0,33,0,0,4,45,0,5,1,1,1,"Battery",NA,"Battery",FALSE,NA
1707,2,0,24,0,0,0,273,1,2,0,0,1,"Forgery",NA,"Fraud/Forgery",NA,NA
1709,2,0,33,0,0,12,45,0,9,1,1,1,"Battery",NA,"Battery",FALSE,NA
1710,1,0,37,0,0,0,374,0,2,0,0,1,"Driving with a Suspended License",NA,"Car Verification Violations",NA,NA
1711,1,1,40,0,0,0,45,0,1,0,0,1,"Battery",NA,"Battery",FALSE,NA
1714,1,0,27,0,0,1,336,1,10,0,1,0,"Resisting an Officer with Violence",NA,"Resisting",NA,NA
1715,2,0,43,0,0,9,168,1,6,1,1,1,"Battery",NA,"Battery",FALSE,NA
1716,1,0,26,0,0,11,28,1,4,0,0,1,"arrest case no charge",NA,"No Charge",NA,NA
1717,2,0,35,0,0,5,129,1,6,1,1,1,"Driving with a Revoked License",NA,"Car Verification Violations",NA,NA
1718,2,0,25,0,1,11,190,1,9,1,1,1,"Grand Theft",NA,"Robbery/Theft",FALSE,NA
1719,2,0,61,0,0,1,172,1,1,1,0,0,"Driving with a Suspended License",NA,"Car Verification Violations",NA,NA
1724,1,0,53,0,0,1,28,1,6,1,1,1,"arrest case no charge",NA,"No Charge",NA,NA
1725,3,1,27,0,0,0,190,1,3,0,0,1,"Grand Theft",NA,"Robbery/Theft",FALSE,NA
1727,2,1,52,0,0,1,418,1,1,0,0,1,"Forgery",NA,"Fraud/Forgery",NA,NA
1728,1,0,26,0,0,7,242,0,9,1,1,1,"Theft",NA,"Robbery/Theft",FALSE,NA
1729,2,0,39,0,0,1,283,0,2,1,0,0,"Possession of Cannabis/Marijuana","Cannabis/Marijuana","Drug-Related",NA,"Possession"
1730,2,0,47,0,0,5,28,1,4,0,0,1,"arrest case no charge",NA,"No Charge",NA,NA
1731,1,0,50,0,0,1,313,1,1,0,0,1,"Possession of a Controlled Substance","Controlled Substance","Drug-Related",NA,"Possession"
1733,1,1,52,0,0,6,381,0,7,0,1,0,"Theft",NA,"Robbery/Theft",FALSE,NA
1734,1,1,41,0,0,0,45,0,1,0,0,1,"Battery",NA,"Battery",FALSE,NA
1735,1,0,37,0,0,0,45,0,1,0,0,1,"Battery",NA,"Battery",FALSE,NA
1736,2,1,24,0,0,0,339,1,7,0,1,0,"Theft",NA,"Robbery/Theft",FALSE,NA
1737,2,1,34,0,0,14,89,1,9,0,1,0,"Forgery",NA,"Fraud/Forgery",NA,NA
1741,2,0,24,0,0,5,418,1,6,1,1,1,"Forgery",NA,"Fraud/Forgery",NA,NA
1742,6,0,20,0,0,0,61,0,4,1,0,0,"Burglary",NA,"Burglary",NA,NA
1746,1,0,25,0,0,1,283,0,3,1,0,0,"Possession of Cannabis/Marijuana","Cannabis/Marijuana","Drug-Related",NA,"Possession"
1747,1,0,31,0,0,3,337,0,5,0,1,0,"Resisting an Officer",NA,"Resisting",NA,NA
1749,1,1,62,0,0,0,219,0,1,0,0,1,"Fleeing the Scene of an Accident",NA,"Fleeing and Aiding Escape",NA,NA
1750,1,0,23,0,0,0,28,1,3,1,0,0,"arrest case no charge",NA,"No Charge",NA,NA
1752,1,1,60,0,0,0,190,1,7,0,1,0,"Grand Theft",NA,"Robbery/Theft",FALSE,NA
1754,1,0,35,0,0,0,45,0,1,0,0,1,"Battery",NA,"Battery",FALSE,NA
1755,2,1,24,0,0,0,190,1,7,0,1,0,"Grand Theft",NA,"Robbery/Theft",FALSE,NA
1756,1,1,56,0,0,1,28,1,2,1,0,0,"arrest case no charge",NA,"No Charge",NA,NA
1757,1,0,30,0,0,0,128,0,1,0,0,1,"Driving Under the Influence",NA,"DUI",NA,NA
1759,1,0,41,0,0,17,127,0,9,1,1,1,"Driving with a Suspended License",NA,"Car Verification Violations",NA,NA
1760,1,0,35,0,0,4,172,1,5,1,1,1,"Driving with a Suspended License",NA,"Car Verification Violations",NA,NA
1764,1,1,28,0,0,0,201,0,4,0,0,1,"Intoxicated Dangering of Safety of Another",NA,"Non-DUI, Alcohol-Related",NA,NA
1765,2,0,23,0,1,1,184,0,10,0,1,0,"Illegal Gambling",NA,"Other",NA,NA
1768,2,0,56,0,0,0,230,1,1,0,0,1,"Neglect of an Elderly Person",NA,"Neglect",NA,NA
1770,2,0,23,0,0,2,388,1,2,1,0,0,"Drug Trafficking",NA,"Drug-Related",NA,"Drug Trafficking"
1771,3,0,20,0,0,0,65,1,3,1,0,0,"Burglary",NA,"Burglary",NA,NA
1772,3,0,37,0,1,4,28,1,2,0,0,1,"arrest case no charge",NA,"No Charge",NA,NA
1774,1,0,23,0,1,1,45,0,2,0,0,1,"Battery",NA,"Battery",FALSE,NA
1776,2,0,21,0,0,0,65,1,9,1,1,1,"Burglary",NA,"Burglary",NA,NA
1777,2,1,21,1,2,3,190,1,7,0,1,0,"Grand Theft",NA,"Robbery/Theft",FALSE,NA
1780,2,1,35,0,0,2,28,1,5,0,1,0,"arrest case no charge",NA,"No Charge",NA,NA
1781,1,0,33,0,0,3,374,0,3,0,0,1,"Driving with a Suspended License",NA,"Car Verification Violations",NA,NA
1783,3,0,21,0,0,0,418,1,4,0,0,1,"Forgery",NA,"Fraud/Forgery",NA,NA
1786,2,0,41,2,1,9,261,0,9,0,1,0,"Possession of a Controlled Substance","Controlled Substance","Drug-Related",NA,"Possession"
1787,2,0,24,0,0,0,58,1,5,0,1,0,"Burglary",NA,"Burglary",NA,NA
1788,3,0,20,0,0,2,58,1,10,1,1,1,"Burglary",NA,"Burglary",NA,NA
1791,2,0,28,0,0,9,280,1,8,1,1,1,"Possession of Ecstasy","Ecstasy","Drug-Related",NA,"Possession"
1792,5,0,25,0,0,7,56,1,9,0,1,0,"Burglary",NA,"Burglary",NA,NA
1794,2,0,49,0,0,3,306,1,2,0,0,1,"Possession of Cocaine","Cocaine","Drug-Related",NA,"Possession"
1795,3,1,22,0,0,0,190,1,6,0,1,0,"Grand Theft",NA,"Robbery/Theft",FALSE,NA
1796,2,0,21,0,0,0,58,1,3,1,0,0,"Burglary",NA,"Burglary",NA,NA
1797,2,1,27,0,0,3,186,1,9,1,1,1,"Grand Theft",NA,"Robbery/Theft",FALSE,NA
1798,2,0,32,0,0,4,28,1,7,1,1,1,"arrest case no charge",NA,"No Charge",NA,NA
1800,2,0,50,0,0,4,31,0,5,0,1,0,"Assault",NA,"Assault",FALSE,NA
1801,2,1,23,0,0,0,45,0,3,0,0,1,"Battery",NA,"Battery",FALSE,NA
1803,1,0,34,0,0,0,45,0,4,0,0,1,"Battery",NA,"Battery",FALSE,NA
1804,2,0,35,0,0,1,45,0,4,0,0,1,"Battery",NA,"Battery",FALSE,NA
1805,2,0,25,0,0,4,342,1,5,1,1,1,"Robbery",NA,"Robbery/Theft",FALSE,NA
1806,1,1,33,0,0,2,92,1,5,1,1,1,"Criminal Damage of less than $1000",NA,"Criminal Damage",NA,NA
1809,6,0,25,0,0,1,45,0,4,1,0,0,"Battery",NA,"Battery",FALSE,NA
1810,3,0,30,0,0,0,45,0,1,0,0,1,"Battery",NA,"Battery",FALSE,NA
1815,5,0,42,0,0,0,127,0,2,0,0,1,"Driving with a Suspended License",NA,"Car Verification Violations",NA,NA
1816,1,1,29,0,0,11,306,1,10,1,1,1,"Possession of Cocaine","Cocaine","Drug-Related",NA,"Possession"
1817,2,1,32,0,0,6,28,1,4,1,0,0,"arrest case no charge",NA,"No Charge",NA,NA
1819,6,0,24,0,0,5,303,1,6,0,1,0,"Possession of Cannabis/Marijuana","Cannabis/Marijuana","Drug-Related",NA,"Possession"
1820,2,0,52,0,0,3,28,1,1,0,0,1,"arrest case no charge",NA,"No Charge",NA,NA
1821,1,1,26,0,0,3,45,0,3,0,0,1,"Battery",NA,"Battery",FALSE,NA
1822,1,0,31,0,0,2,306,1,3,1,0,0,"Possession of Cocaine","Cocaine","Drug-Related",NA,"Possession"
1823,3,0,38,0,0,0,169,1,1,0,0,1,"Battery",NA,"Battery",FALSE,NA
1826,1,0,47,0,0,2,127,0,1,0,0,1,"Driving with a Suspended License",NA,"Car Verification Violations",NA,NA
1827,2,0,25,0,0,5,28,1,7,0,1,0,"arrest case no charge",NA,"No Charge",NA,NA
1829,1,1,30,0,0,0,306,1,5,0,1,0,"Possession of Cocaine","Cocaine","Drug-Related",NA,"Possession"
1830,2,0,20,0,0,0,45,0,10,1,1,1,"Battery",NA,"Battery",FALSE,NA
1832,2,1,29,0,0,2,190,1,10,0,1,0,"Grand Theft",NA,"Robbery/Theft",FALSE,NA
1833,4,0,24,0,0,0,404,1,3,0,0,1,"Fraud",NA,"Fraud/Forgery",NA,NA
1834,1,0,31,0,0,0,107,1,4,0,0,1,"Dealing Controlled Substances","Controlled Substance","Drug-Related",NA,"Dealing"
1840,1,1,54,0,0,12,332,1,2,0,0,1,"Purchasing a Controlled Substance","Controlled Substance","Drug-Related",NA,"Purchasing"
1841,1,1,37,0,0,1,128,0,3,0,0,1,"Driving Under the Influence",NA,"DUI",NA,NA
1843,3,0,43,0,0,0,45,0,2,1,0,0,"Battery",NA,"Battery",FALSE,NA
1844,1,0,49,0,0,8,174,1,6,1,1,1,"Driving Under the Influence",NA,"DUI",NA,NA
1845,2,1,33,0,0,1,280,1,2,0,0,1,"Possession of Ecstasy","Ecstasy","Drug-Related",NA,"Possession"
1846,2,0,20,0,0,1,28,1,9,0,1,0,"arrest case no charge",NA,"No Charge",NA,NA
1847,2,0,42,0,0,0,208,0,1,0,0,1,"Fleeing the Scene of an Accident",NA,"Fleeing and Aiding Escape",NA,NA
1848,1,0,44,0,0,0,405,1,2,1,0,0,"Unauthorized Interference with a Railroad",NA,"Other",NA,NA
1849,2,0,28,0,0,5,28,1,6,1,1,1,"arrest case no charge",NA,"No Charge",NA,NA
1850,2,0,32,0,0,4,28,1,6,1,1,1,"arrest case no charge",NA,"No Charge",NA,NA
1852,2,0,28,0,0,7,15,1,7,1,1,1,"Assault with a Deadly Weapon",NA,"Assault",TRUE,NA
1853,1,0,38,0,0,0,15,1,4,0,0,1,"Assault with a Deadly Weapon",NA,"Assault",TRUE,NA
1854,2,0,38,0,0,3,222,1,4,0,0,1,"Manufacturing Cannabis/Marijuana","Cannabis/Marijuana","Drug-Related",NA,"Manufacturing"
1856,1,0,21,0,0,1,49,1,4,0,0,1,"Battery",NA,"Battery",FALSE,NA
1859,2,1,34,0,0,0,45,0,3,0,0,1,"Battery",NA,"Battery",FALSE,NA
1860,1,0,21,0,0,1,303,1,6,1,1,1,"Possession of Cannabis/Marijuana","Cannabis/Marijuana","Drug-Related",NA,"Possession"
1861,2,0,36,0,0,1,306,1,8,1,1,1,"Possession of Cocaine","Cocaine","Drug-Related",NA,"Possession"
1862,2,0,29,0,0,0,18,0,2,1,0,0,"Battery",NA,"Battery",FALSE,NA
1863,2,0,34,0,0,3,306,1,6,1,1,1,"Possession of Cocaine","Cocaine","Drug-Related",NA,"Possession"
1864,2,0,38,0,0,1,28,0,2,0,0,1,"arrest case no charge",NA,"No Charge",NA,NA
1865,1,0,36,0,0,0,159,1,1,0,0,1,"False Imprisonment",NA,"False Imprisonment",NA,NA
1866,3,0,32,0,0,0,45,0,2,0,0,1,"Battery",NA,"Battery",FALSE,NA
1868,2,0,23,0,0,0,45,0,9,0,1,0,"Battery",NA,"Battery",FALSE,NA
1869,1,0,47,0,0,0,134,0,1,0,0,1,"Driving Under the Influence",NA,"DUI",NA,NA
1870,2,0,20,0,0,0,71,1,3,0,0,1,"Carrying a Concealed Weapon",NA,"Carrying a Concealed Weapon",NA,NA
1871,2,1,25,0,0,2,49,1,8,1,1,1,"Battery",NA,"Battery",FALSE,NA
1872,2,0,35,0,0,0,45,0,1,0,0,1,"Battery",NA,"Battery",FALSE,NA
1873,1,1,30,0,0,1,314,1,3,0,0,1,"Possession of a Controlled Substance","Controlled Substance","Drug-Related",NA,"Possession"
1874,1,1,28,0,0,1,45,0,4,0,0,1,"Battery",NA,"Battery",FALSE,NA
1875,1,0,30,0,0,2,338,0,8,1,1,1,"Restraining Order Violation",NA,"Other",NA,NA
1876,1,1,45,0,0,3,45,0,3,0,0,1,"Battery",NA,"Battery",FALSE,NA
1877,2,0,24,0,0,2,28,0,5,1,1,1,"arrest case no charge",NA,"No Charge",NA,NA
1879,2,0,22,0,0,0,169,1,9,0,1,0,"Battery",NA,"Battery",FALSE,NA
1880,6,0,20,0,8,8,129,1,10,1,1,1,"Driving with a Revoked License",NA,"Car Verification Violations",NA,NA
1881,2,1,42,0,0,0,45,0,1,1,0,0,"Battery",NA,"Battery",FALSE,NA
1882,2,0,24,1,1,8,28,1,9,1,1,1,"arrest case no charge",NA,"No Charge",NA,NA
1883,3,0,40,0,0,0,363,0,1,0,0,1,"Battery",NA,"Battery",FALSE,NA
1884,6,0,27,0,0,1,169,1,4,0,0,1,"Battery",NA,"Battery",FALSE,NA
1886,2,0,60,0,0,12,129,1,3,0,0,1,"Driving with a Revoked License",NA,"Car Verification Violations",NA,NA
1888,2,0,33,0,0,6,45,0,5,0,1,0,"Battery",NA,"Battery",FALSE,NA
